date;time;subject;blocknum;blockcode;trialcode;trialnum;values.situation;values.market_growthnumber;values.market_growth;values.market_concentrationnumber;values.market_concentration;values.market_sharenumber;values.market_share;values.relative_costnumber;values.relative_cost;values.relative_qualitynumber;values.relative_quality;values.standardizationnumber;values.standardization;response;latency
42216;17:35:13;1;3;expé;stimulus;1;Situation n°1;5;Croissance du marché: Forte;5;Concentration du marché: Forte;3;Votre part de marché (rang): 3ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;2;Produits standardisés: Non;4;49887
42216;17:35:13;1;3;expé;stimulus;2;Situation n°2;2;Croissance du marché: Plutôt faible;3;Concentration du marché: Moyenne;2;Votre part de marché (rang): 2ème;2;Coût relatif de votre offre: Plus faible que la concurrence;2;Qualité relative de votre offre: Inférieure à la concurrence;2;Produits standardisés: Non;5;59459
42216;17:35:13;1;3;expé;stimulus;3;Situation n°3;3;Croissance du marché: Moyenne;2;Concentration du marché: Plutôt faible;3;Votre part de marché (rang): 3ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;1;Produits standardisés: Oui;2;16594
42216;17:35:13;1;3;expé;stimulus;4;Situation n°4;2;Croissance du marché: Plutôt faible;4;Concentration du marché: Plutôt forte;2;Votre part de marché (rang): 2ème;2;Coût relatif de votre offre: Plus faible que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;1;Produits standardisés: Oui;7;38902
42216;17:35:13;1;3;expé;stimulus;5;Situation n°5;1;Croissance du marché: Faible;2;Concentration du marché: Plutôt faible;3;Votre part de marché (rang): 3ème;2;Coût relatif de votre offre: Plus faible que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;2;Produits standardisés: Non;3;188095
42216;17:35:13;1;3;expé;stimulus;6;Situation n°6;3;Croissance du marché: Moyenne;1;Concentration du marché: Faible;1;Votre part de marché (rang): 1er;1;Coût relatif de votre offre: Beaucoup plus faible que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;2;Produits standardisés: Non;3;22754
42216;17:35:13;1;3;expé;stimulus;7;Situation n°7;2;Croissance du marché: Plutôt faible;4;Concentration du marché: Plutôt forte;3;Votre part de marché (rang): 3ème;2;Coût relatif de votre offre: Plus faible que la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;2;Produits standardisés: Non;5;65083
42216;17:35:13;1;3;expé;stimulus;8;Situation n°8;3;Croissance du marché: Moyenne;3;Concentration du marché: Moyenne;2;Votre part de marché (rang): 2ème;1;Coût relatif de votre offre: Beaucoup plus faible que la concurrence;2;Qualité relative de votre offre: Inférieure à la concurrence;1;Produits standardisés: Oui;7;12905
42216;17:35:13;1;3;expé;stimulus;9;Situation n°9;3;Croissance du marché: Moyenne;2;Concentration du marché: Plutôt faible;1;Votre part de marché (rang): 1er;1;Coût relatif de votre offre: Beaucoup plus faible que la concurrence;1;Qualité relative de votre offre: Très inférieure à la concurrence;1;Produits standardisés: Oui;7;37845
42216;17:35:13;1;3;expé;stimulus;10;Situation n°10;4;Croissance du marché: Plutôt forte;5;Concentration du marché: Forte;1;Votre part de marché (rang): 1er;2;Coût relatif de votre offre: Plus faible que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;2;Produits standardisés: Non;6;91265
